Results:
First Result: Frame: 0, Score: 0.78721
Decision: Forged
Frame Index	Score
0	0.7872065305709839
5	0.3541589081287384
10	0.3255578577518463
15	0.39889976382255554
20	0.7962188720703125
25	0.7564870119094849
30	0.8099335432052612
35	0.6323283314704895
40	0.716048002243042
45	0.7992393970489502
50	0.6313036680221558
55	0.8537232875823975
60	0.624495267868042
65	0.809055745601654
70	0.6840304136276245
75	0.5957063436508179
80	0.6334159970283508
85	0.45746010541915894
90	0.42969611287117004
95	0.4029359519481659
100	0.3218657970428467
105	0.5463753342628479
110	0.4091205298900604
115	0.7130840420722961
120	0.6964399218559265
125	0.5076016187667847
130	0.49999839067459106
135	0.6434906125068665
140	0.3454284071922302
145	0.5199333429336548
150	0.8484379649162292
